TUCASEID,GEMETSTA,GTMETSTA,PEEDUCA,PEHSPNON,PTDTRACE,TEAGE,TELFS,TEMJOT,TESCHENR,TESCHLVL,TESEX,TESPEMPNOT,TRCHILDNUM,TRDPFTPT,TRERNWA,TRHOLIDAY,TRSPFTPT,TRSPPRES,TRYHHCHILD,TUDIARYDAY,TUFNWGTP,TEHRUSLT,TUYEAR,TU20FWGT,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t18,t50
20190101191547,-1,1,44,2,1,72,5,-1,-1,-1,1,2,0,-1,-1,0,-1,1,-1,3,15731655.414256,-1,2019,15185574.470749,570,295,0,0,0,0,0,0,0,0,140,180,0,0,165,0,90,0
20190101191593,-1,1,38,2,1,80,5,-1,-1,-1,1,-1,0,-1,-1,0,-1,3,-1,4,10378203.638004,-1,2019,11970086.616997,585,33,0,0,0,0,65,270,0,0,120,300,0,0,0,0,67,0
20190101191632,-1,1,41,1,1,26,5,-1,1,2,2,-1,2,-1,-1,0,-1,3,5,2,14720128.951031,-1,2019,12750801.925967,635,245,130,0,0,320,0,0,0,0,70,0,0,0,0,0,40,0
20190101191681,-1,1,39,2,1,73,5,-1,-1,-1,2,1,0,-1,-1,0,2,1,-1,5,14967369.515028,-1,2019,16949662.793726,395,225,0,0,0,0,0,0,0,0,60,440,150,60,40,0,70,0
20190101191701,-1,1,39,1,1,29,1,2,2,-1,2,-1,2,1,50000,0,-1,3,2,1,4797444.120968,40,2019,6154607.349750,780,235,100,0,0,0,0,0,0,0,60,210,0,0,0,0,55,0
20190101191748,-1,1,40,2,1,42,5,-1,1,2,2,-1,1,-1,-1,0,-1,3,4,3,7832046.258207,-1,2019,7258060.461253,600,40,5,50,0,0,15,0,0,0,75,510,0,0,0,0,145,0
20190101191756,-1,1,38,2,2,47,1,2,2,-1,2,-1,2,2,21000,0,-1,3,10,1,4637964.781129,15,2019,4291925.112120,691,90,0,0,350,0,10,0,0,0,45,55,0,0,0,0,125,74
20190101191789,-1,2,39,2,1,39,5,-1,2,-1,1,-1,1,-1,-1,0,-1,3,6,1,1972991.836688,-1,2019,1830739.142583,690,77,61,0,0,0,132,0,0,0,30,0,420,0,0,0,30,0
20190101191807,-1,1,39,2,1,34,1,2,2,-1,1,1,3,1,77000,0,2,1,4,1,4314338.145322,60,2019,4757681.146707,640,480,0,0,0,0,0,0,0,0,20,300,0,0,0,0,0,0
20190101191828,-1,2,39,2,1,73,1,1,-1,-1,1,1,0,1,54000,0,3,1,-1,1,7979070.485597,-4,2019,6781021.858246,412,20,0,0,439,0,0,0,0,0,10,468,0,0,0,0,91,0
20190101191850,-1,1,41,2,1,65,1,2,-1,-1,2,-1,0,1,85400,0,-1,3,-1,1,1964457.630135,40,2019,1902496.698865,645,155,0,0,0,0,60,0,0,0,20,230,0,100,0,120,110,0
20190101191863,-1,1,40,1,1,37,4,-1,2,-1,2,-1,3,-1,-1,0,-1,3,11,1,2036928.459427,-1,2019,1901685.438186,681,445,180,0,0,0,65,0,0,0,10,20,0,0,0,0,39,0
20190101191878,-1,2,34,2,1,50,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,3,26647458.745847,-1,2019,25401844.101360,600,165,0,0,0,0,0,0,0,0,105,570,0,0,0,0,0,0
20190101191892,-1,1,43,2,1,44,5,-1,2,-1,2,1,4,-1,-1,0,1,1,0,4,8398701.978031,-1,2019,7927562.556666,444,275,383,0,0,0,0,0,0,0,30,122,0,6,30,150,0,0
20190101191903,-1,1,39,2,1,85,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,4,19689263.479331,-1,2019,18436054.399509,566,410,0,0,0,0,0,0,0,0,45,382,27,0,0,0,0,10
20190101191934,-1,2,43,2,1,36,1,2,2,-1,2,1,1,1,53000,0,1,1,10,2,14405258.216705,40,2019,14949963.756951,773,517,15,0,3,0,5,0,0,0,30,95,0,0,0,0,2,0
20190101191955,-1,1,36,2,2,77,5,-1,-1,-1,1,2,0,-1,-1,0,-1,1,-1,3,10759875.946693,-1,2019,13803891.046030,850,420,0,0,0,0,0,0,0,0,20,150,0,0,0,0,0,0
20190101192000,-1,1,45,2,1,78,5,-1,-1,-1,1,2,0,-1,-1,0,-1,1,-1,2,16700347.757182,-1,2019,16140433.857622,570,0,45,0,0,0,180,0,0,0,210,360,0,0,0,0,75,0
20190101192011,-1,1,39,2,1,57,5,-1,-1,-1,1,1,0,-1,-1,0,1,1,-1,2,25290666.098865,-1,2019,25815869.259686,660,210,0,0,0,0,30,120,0,0,90,240,0,0,0,0,90,0
20190101192038,-1,2,39,1,1,49,5,-1,2,-1,2,1,1,-1,-1,0,1,1,14,5,14510232.551638,-1,2019,13045293.954844,565,327,5,30,0,0,0,0,0,0,30,212,45,10,0,20,34,162
20190101192084,-1,1,44,2,1,73,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,1,1991827.856797,-1,2019,1894899.193355,540,405,0,0,0,0,0,0,0,0,80,300,0,0,85,0,30,0
20190101192090,-1,1,39,1,1,80,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,1,1689099.110210,-1,2019,1621270.766598,625,65,0,0,0,0,0,0,0,0,40,650,0,0,0,20,40,0
20190101192120,-1,1,42,2,2,32,1,2,1,2,2,1,1,1,77600,0,1,1,3,2,13734504.620953,37,2019,14067624.355277,604,70,56,0,446,0,2,0,0,0,55,180,0,0,0,15,12,0
20190101192121,-1,1,35,2,3,29,1,2,2,-1,1,-1,2,1,52000,0,-1,3,4,5,6604077.224229,40,2019,7641319.153984,512,30,116,0,485,0,2,0,0,0,40,207,0,0,0,0,48,0
20190101192137,-1,1,43,2,1,28,1,2,2,-1,2,-1,1,1,53000,0,-1,3,7,5,12208323.225743,40,2019,10847367.009362,538,93,35,0,452,0,0,0,0,0,40,210,0,0,0,0,72,0
20190101192143,-1,1,39,2,1,78,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,2,7563263.530960,-1,2019,6943354.272168,615,760,0,0,0,0,0,0,0,0,60,0,0,0,0,5,0,0
20190101192161,-1,1,42,1,1,66,5,-1,-1,-1,2,2,0,-1,-1,0,-1,1,-1,2,6740728.646608,-1,2019,6287162.300636,655,365,0,70,0,0,0,0,0,0,25,155,0,0,0,20,60,90
20190101192173,-1,1,45,2,1,61,1,2,-1,-1,2,-1,0,1,288461,0,-1,3,-1,4,7811031.179203,45,2019,8127722.418038,540,110,0,0,480,0,0,0,0,0,35,225,0,0,0,0,50,0
20190101192195,-1,1,43,2,1,26,1,2,1,2,2,-1,0,2,34260,0,-1,3,-1,2,50453120.766406,20,2019,42872619.712092,575,60,0,0,0,350,0,0,0,0,40,330,0,0,0,0,85,0
20190101192202,-1,1,40,1,1,45,2,2,2,-1,2,1,0,1,103921,0,1,1,-1,4,30357689.082408,40,2019,30004467.411440,780,30,0,0,0,0,0,20,0,0,10,530,0,0,0,0,10,60
20190101192282,-1,1,38,2,2,75,5,-1,-1,-1,2,2,0,-1,-1,0,-1,1,-1,2,7210691.325657,-1,2019,6883993.077824,620,10,0,40,0,0,0,0,0,0,70,700,0,0,0,0,0,0
20190101192316,-1,2,37,2,1,60,1,2,-1,-1,1,-1,0,1,120000,0,-1,3,-1,2,5902565.692042,50,2019,5945742.662523,420,100,0,0,590,0,0,0,0,0,50,240,0,0,0,0,40,0
20190101192325,-1,1,43,2,1,39,1,2,2,-1,2,-1,0,1,76923,0,-1,3,-1,5,13536278.990190,40,2019,14326859.397712,575,145,0,0,495,0,0,0,0,0,45,60,0,0,0,0,120,0
20190101192407,-1,1,42,2,1,59,5,-1,-1,-1,1,1,0,-1,-1,0,1,1,-1,1,7565753.670797,-1,2019,7382284.452048,600,370,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,170
20190101192424,-1,2,39,2,3,65,5,-1,-1,-1,1,2,0,-1,-1,0,-1,2,-1,2,16060070.705816,-1,2019,16612292.566357,570,90,0,90,0,0,0,20,0,0,15,570,0,0,0,0,40,45
20190101192460,-1,1,43,2,1,41,1,2,2,-1,1,2,2,1,288461,0,-1,1,1,3,7523790.635488,40,2019,6983496.533412,555,34,139,0,396,0,10,0,0,0,60,180,0,0,0,0,66,0
20190101192482,-1,1,40,2,1,32,1,2,2,-1,1,1,1,1,144230,0,2,1,1,2,8428150.682897,57,2019,8150837.497240,530,10,30,0,740,0,0,0,0,0,20,85,0,0,0,0,25,0
20190101192485,-1,1,42,2,1,55,1,1,-1,-1,2,1,1,1,42450,0,1,1,17,4,9628544.417478,36,2019,11411510.843347,420,125,90,0,60,0,0,0,0,0,75,420,185,45,0,0,20,0
